time,N2O Dry,N2O corr,d15N,d15N alpha,d15N alpha corr,d15N beta,d15N beta corr,Cavity temp
02/03/2010 10:11:46,235.353912,226.918671,291.881165,244.36,244.361008,328.263458,+AC0-928.548523,50.747227
02/03/2010 10:11:50,262.909729,253.903915,177.525146,128.28,128.283463,215.521164,+AC0-986.39032,51.479748
02/03/2010 10:11:54,266.638824,243.851334,214.806915,166.35,166.351059,252.066284,+AC0-2937.408447,69.343796
02/03/2010 10:11:59,268.866455,246.520142,258.015808,219.63,219.630646,285.835022,+AC0-2804.332275,68.772316
02/03/2010 10:12:03,280.253906,270.58963,225.310135,186.01,186.014847,253.982498,+AC0-954.276062,52.324951
02/03/2010 10:12:07,291.499146,286.884399,198.99823,169.08,169.08429,218.876617,+AC0-318.197144,45.781631
02/03/2010 10:12:11,302.489105,295.13504,161.639771,134.39,134.387436,179.023209,+AC0-661.61615,49.328804
02/03/2010 10:12:15,314.996582,298.749054,128.291428,111.43,111.429642,135.934875,+AC0-1717.865967,60.854652
02/03/2010 10:12:20,325.80603,310.25058,89.561661,80.40,80.402489,89.984764,+AC0-1620.264038,59.957756
02/03/2010 10:12:24,335.67099,323.57959,50.215088,48.79,48.787659,43.390533,+AC0-1229.515503,55.466614
02/03/2010 10:12:28,341.940735,334.8508,17.010132,16.72,16.719191,9.120248,+AC0-707.497375,48.985161
02/03/2010 10:12:32,345.099426,338.012146,+AC0-5.995419,+AC0-5.76,+AC0-5.759343,+AC0-14.379325,+AC0-724.650635,48.983871
02/03/2010 10:12:36,345.813812,336.318298,+AC0-30.977713,+AC0-23.80,+AC0-23.795856,+AC0-45.872517,+AC0-1007.532166,52.106331
02/03/2010 10:12:40,344.606842,337.634338,+AC0-42.826992,+AC0-41.06,+AC0-41.06271,+AC0-52.643417,+AC0-752.954468,48.837086
02/03/2010 10:12:45,341.980133,332.814972,+AC0-56.655144,+AC0-57.66,+AC0-57.658779,+AC0-63.876957,+AC0-1002.11731,51.679646
02/03/2010 10:12:49,337.73703,328.09668,+AC0-57.426991,+AC0-59.46,+AC0-59.459976,+AC0-63.683899,+AC0-1065.689209,52.297417
02/03/2010 10:12:53,332.594574,320.948944,+AC0-57.827763,+AC0-58.33,+AC0-58.333107,+AC0-65.51667,+AC0-1306.102051,54.899342
02/03/2010 10:12:58,327.660095,296.286102,+AC0-81.158928,+AC0-99.84,+AC0-99.836006,+AC0-71.813858,+AC0-3719.118164,80.475372
02/03/2010 10:13:02,320.196991,300.544708,+AC0-78.925636,+AC0-109.73,+AC0-109.730301,+AC0-58.212284,+AC0-2304.357178,65.281975
02/03/2010 10:13:06,316.915741,308.829407,+AC0-56.768166,+AC0-56.40,+AC0-56.399761,+AC0-65.276108,+AC0-957.468262,50.292831
02/03/2010 10:13:11,315.448975,303.406982,+AC0-73.019073,+AC0-78.37,+AC0-78.372482,+AC0-76.16346,+AC0-1435.442505,55.420845
02/03/2010 10:13:14,310.681,299.05249,+AC0-57.04406,+AC0-63.08,+AC0-63.078899,+AC0-59.549675,+AC0-1390.279541,54.884285
02/03/2010 10:13:18,306.081787,295.099701,+AC0-47.661591,+AC0-50.64,+AC0-50.637112,+AC0-53.034977,+AC0-1325.982422,54.048084
02/03/2010 10:13:22,305.756836,298.345856,+AC0-53.069942,+AC0-56.29,+AC0-56.290974,+AC0-58.213192,+AC0-903.713745,49.418404
02/03/2010 10:13:27,303.807465,287.015411,+AC0-46.599258,+AC0-48.71,+AC0-48.705658,+AC0-52.78735,+AC0-2061.711182,61.580742
02/03/2010 10:13:31,303.625793,289.100952,+AC0-58.078861,+AC0-73.93,+AC0-73.934471,+AC0-51.378601,+AC0-1774.28833,58.63942
02/03/2010 10:13:35,301.312195,286.789703,+AC0-45.551949,+AC0-57.03,+AC0-57.028484,+AC0-42.956577,+AC0-1779.120361,58.635998
02/03/2010 10:13:39,300.547455,289.261414,+AC0-24.720272,+AC0-25.87,+AC0-25.869909,+AC0-31.805225,+AC0-1366.06543,54.441261
02/03/2010 10:13:43,299.519775,290.961975,+AC0-9.68552,+AC0-4.40,+AC0-4.402082,+AC0-22.800768,+AC0-1025.361572,50.907196
02/03/2010 10:13:47,302.899506,297.223083,+AC0-38.419342,+AC0-47.42,+AC0-47.421322,+AC0-38.143593,+AC0-684.945557,47.17115
02/03/2010 10:13:51,302.498779,295.996277,+AC0-26.627451,+AC0-34.67,+AC0-34.670319,+AC0-27.250763,+AC0-772.638672,48.239319
